SubscriptionLogId,CustomerId,ClubPlanName,MonthlyFeeBRL,PointsCredited,BillingDate,PaymentStatus,PaymentMethod
SUB-903678,CUST-10299,Clube Top 20k,799.90,20000,2022-03-10T11:00:00Z,Paid,Auto Debit
SUB-906061,CUST-10530,Clube Special 3k,129.90,3000,2022-03-11T11:00:00Z,Paid,PIX Auto
SUB-907571,CUST-10650,Clube Super 10k,489.90,10000,2022-03-11T12:00:00Z,Paid,Credit Card
SUB-906907,CUST-10592,Clube Top 20k,799.90,20000,2022-03-12T12:00:00Z,Paid,Credit Card
SUB-908718,CUST-10734,Clube Plus 5k,219.90,5000,2022-03-14T07:00:00Z,Paid,PIX Auto
SUB-901945,CUST-10158,Clube Super 10k,489.90,10000,2022-03-15T08:00:00Z,Paid,PIX Auto
SUB-910674,CUST-10896,Clube Super 10k,489.90,10000,2022-03-16T11:00:00Z,Paid,PIX Auto
SUB-901621,CUST-10135,Clube Top 20k,799.90,20000,2022-03-18T10:00:00Z,Paid,Credit Card
SUB-909817,CUST-10824,Clube Top 20k,799.90,20000,2022-03-18T10:00:00Z,Paid,Credit Card
SUB-904013,CUST-10329,Clube Super 10k,489.90,10000,2022-03-19T10:00:00Z,Paid,PIX Auto
SUB-901506,CUST-10125,Clube Super 10k,489.90,10000,2022-03-20T08:00:00Z,Paid,Credit Card
SUB-908424,CUST-10717,Clube Special 3k,129.90,3000,2022-03-20T08:00:00Z,Paid,PIX Auto
SUB-909097,CUST-10765,Clube Super 10k,489.90,0,2022-03-20T08:00:00Z,Payment Failed,Credit Card
SUB-907501,CUST-10642,Clube Plus 5k,219.90,0,2022-03-20T09:00:00Z,Payment Failed,PIX Auto
SUB-902719,CUST-10224,Clube Super 10k,489.90,10000,2022-03-21T06:00:00Z,Paid,Credit Card
SUB-909155,CUST-10770,Clube Top 20k,799.90,20000,2022-03-21T08:00:00Z,Paid,PIX Auto
SUB-906753,CUST-10579,Clube Classic 1k,44.90,1000,2022-03-22T07:00:00Z,Paid,Credit Card
SUB-901861,CUST-10153,Clube Classic 1k,44.90,1000,2022-03-22T12:00:00Z,Paid,Credit Card
SUB-911760,CUST-10993,Clube Plus 5k,219.90,5000,2022-03-23T11:00:00Z,Paid,Credit Card
SUB-910451,CUST-10880,Clube Top 20k,799.90,20000,2022-03-24T09:00:00Z,Paid,Credit Card
SUB-901398,CUST-10119,Clube Super 10k,489.90,10000,2022-03-26T10:00:00Z,Paid,Credit Card
SUB-904495,CUST-10386,Clube Super 10k,489.90,10000,2022-03-26T12:00:00Z,Paid,PIX Auto
SUB-903405,CUST-10269,Clube Top 20k,799.90,20000,2022-03-27T07:00:00Z,Paid,Credit Card
SUB-908244,CUST-10700,Clube Classic 1k,44.90,1000,2022-03-27T08:00:00Z,Paid,Auto Debit
SUB-909345,CUST-10784,Clube Plus 5k,219.90,5000,2022-03-28T10:00:00Z,Paid,Auto Debit
SUB-908473,CUST-10719,Clube Top 20k,799.90,20000,2022-03-30T06:00:00Z,Paid,Credit Card
SUB-907081,CUST-10604,Clube Super 10k,489.90,10000,2022-03-30T09:00:00Z,Paid,Credit Card
SUB-901082,CUST-10090,Clube Top 20k,799.90,20000,2022-03-30T11:00:00Z,Paid,Credit Card
SUB-910376,CUST-10872,Clube Special 3k,129.90,3000,2022-03-31T06:00:00Z,Paid,Auto Debit
SUB-900448,CUST-10034,Clube Top 20k,799.90,20000,2022-04-03T09:00:00Z,Paid,Credit Card
SUB-900042,CUST-10004,Clube Super 10k,489.90,10000,2022-04-04T07:00:00Z,Paid,Credit Card
SUB-908628,CUST-10729,Clube Top 20k,799.90,20000,2022-04-04T08:00:00Z,Paid,Credit Card
SUB-906335,CUST-10552,Clube Top 20k,799.90,20000,2022-04-05T06:00:00Z,Paid,Auto Debit
SUB-908853,CUST-10743,Clube Super 10k,489.90,10000,2022-04-05T06:00:00Z,Paid,Credit Card
SUB-900921,CUST-10076,Clube Plus 5k,219.90,5000,2022-04-05T10:00:00Z,Paid,Credit Card
SUB-908838,CUST-10742,Clube Classic 1k,44.90,1000,2022-04-05T11:00:00Z,Paid,Credit Card
SUB-907507,CUST-10643,Clube Plus 5k,219.90,5000,2022-04-06T07:00:00Z,Paid,Credit Card
SUB-904512,CUST-10388,Clube Plus 5k,219.90,0,2022-04-07T06:00:00Z,Payment Failed,Credit Card
SUB-900180,CUST-10014,Clube Super 10k,489.90,10000,2022-04-07T07:00:00Z,Paid,Credit Card
SUB-903386,CUST-10268,Clube Top 20k,799.90,20000,2022-04-07T09:00:00Z,Paid,Credit Card
SUB-903674,CUST-10298,Clube Classic 1k,44.90,1000,2022-04-08T07:00:00Z,Paid,Credit Card
SUB-903679,CUST-10299,Clube Top 20k,799.90,20000,2022-04-09T09:00:00Z,Paid,Auto Debit
SUB-908949,CUST-10753,Clube Top 20k,799.90,20000,2022-04-09T12:00:00Z,Paid,PIX Auto
SUB-904526,CUST-10389,Clube Super 10k,489.90,10000,2022-04-10T09:00:00Z,Paid,Credit Card
SUB-906062,CUST-10530,Clube Special 3k,129.90,3000,2022-04-10T10:00:00Z,Paid,PIX Auto
SUB-907572,CUST-10650,Clube Super 10k,489.90,10000,2022-04-10T11:00:00Z,Paid,Credit Card
SUB-903745,CUST-10302,Clube Super 10k,489.90,10000,2022-04-10T12:00:00Z,Paid,Credit Card
SUB-906908,CUST-10592,Clube Top 20k,799.90,20000,2022-04-11T08:00:00Z,Paid,Credit Card
SUB-904338,CUST-10365,Clube Plus 5k,219.90,5000,2022-04-11T09:00:00Z,Paid,PIX Auto
SUB-908719,CUST-10734,Clube Plus 5k,219.90,5000,2022-04-13T10:00:00Z,Paid,PIX Auto
SUB-901946,CUST-10158,Clube Super 10k,489.90,10000,2022-04-14T08:00:00Z,Paid,PIX Auto
SUB-904590,CUST-10394,Clube Special 3k,129.90,3000,2022-04-14T12:00:00Z,Paid,Auto Debit
SUB-900020,CUST-10003,Clube Top 20k,799.90,20000,2022-04-15T09:00:00Z,Paid,Credit Card
SUB-905307,CUST-10454,Clube Plus 5k,219.90,5000,2022-04-15T09:00:00Z,Paid,Credit Card
SUB-910740,CUST-10900,Clube Top 20k,799.90,20000,2022-04-15T09:00:00Z,Paid,Credit Card
SUB-903794,CUST-10305,Clube Top 20k,799.90,20000,2022-04-15T12:00:00Z,Paid,Credit Card
SUB-910675,CUST-10896,Clube Super 10k,489.90,10000,2022-04-15T12:00:00Z,Paid,PIX Auto
SUB-910527,CUST-10884,Clube Special 3k,129.90,3000,2022-04-17T06:00:00Z,Paid,Credit Card
SUB-909818,CUST-10824,Clube Top 20k,799.90,20000,2022-04-17T08:00:00Z,Paid,Credit Card
SUB-901622,CUST-10135,Clube Top 20k,799.90,20000,2022-04-17T12:00:00Z,Paid,Credit Card
SUB-904014,CUST-10329,Clube Super 10k,489.90,10000,2022-04-18T10:00:00Z,Paid,PIX Auto
SUB-908425,CUST-10717,Clube Special 3k,129.90,3000,2022-04-19T06:00:00Z,Paid,PIX Auto
SUB-907502,CUST-10642,Clube Plus 5k,219.90,5000,2022-04-19T07:00:00Z,Paid,PIX Auto
SUB-909098,CUST-10765,Clube Super 10k,489.90,10000,2022-04-19T09:00:00Z,Paid,Credit Card
SUB-901507,CUST-10125,Clube Super 10k,489.90,10000,2022-04-19T11:00:00Z,Paid,Credit Card
SUB-909156,CUST-10770,Clube Top 20k,799.90,20000,2022-04-20T06:00:00Z,Paid,PIX Auto
SUB-900520,CUST-10043,Clube Plus 5k,219.90,5000,2022-04-20T09:00:00Z,Paid,Auto Debit
SUB-902720,CUST-10224,Clube Super 10k,489.90,10000,2022-04-20T12:00:00Z,Paid,Credit Card
SUB-901862,CUST-10153,Clube Classic 1k,44.90,0,2022-04-21T06:00:00Z,Payment Failed,Credit Card
SUB-906754,CUST-10579,Clube Classic 1k,44.90,0,2022-04-21T11:00:00Z,Payment Failed,Credit Card
SUB-911761,CUST-10993,Clube Plus 5k,219.90,5000,2022-04-22T07:00:00Z,Paid,Credit Card
SUB-906191,CUST-10543,Clube Top 20k,799.90,20000,2022-04-22T08:00:00Z,Paid,Credit Card
SUB-910077,CUST-10846,Clube Super 10k,489.90,0,2022-04-22T09:00:00Z,Payment Failed,Credit Card
SUB-910356,CUST-10871,Clube Super 10k,489.90,10000,2022-04-23T09:00:00Z,Paid,Credit Card
SUB-910452,CUST-10880,Clube Top 20k,799.90,20000,2022-04-23T12:00:00Z,Paid,Credit Card
SUB-910435,CUST-10877,Clube Super 10k,489.90,0,2022-04-24T11:00:00Z,Payment Failed,Credit Card
SUB-901399,CUST-10119,Clube Super 10k,489.90,10000,2022-04-25T07:00:00Z,Paid,Credit Card
SUB-904496,CUST-10386,Clube Super 10k,489.90,10000,2022-04-25T10:00:00Z,Paid,PIX Auto
SUB-903406,CUST-10269,Clube Top 20k,799.90,20000,2022-04-26T06:00:00Z,Paid,Credit Card
SUB-908245,CUST-10700,Clube Classic 1k,44.90,1000,2022-04-26T10:00:00Z,Paid,Auto Debit
SUB-905642,CUST-10481,Clube Classic 1k,44.90,1000,2022-04-27T08:00:00Z,Paid,Credit Card
SUB-909346,CUST-10784,Clube Plus 5k,219.90,5000,2022-04-27T11:00:00Z,Paid,Auto Debit
SUB-910654,CUST-10893,Clube Plus 5k,219.90,5000,2022-04-28T06:00:00Z,Paid,Credit Card
SUB-901083,CUST-10090,Clube Top 20k,799.90,20000,2022-04-29T08:00:00Z,Paid,Credit Card
SUB-908474,CUST-10719,Clube Top 20k,799.90,20000,2022-04-29T08:00:00Z,Paid,Credit Card
SUB-907082,CUST-10604,Clube Super 10k,489.90,10000,2022-04-29T09:00:00Z,Paid,Credit Card
SUB-906965,CUST-10597,Clube Plus 5k,219.90,5000,2022-04-29T12:00:00Z,Paid,Credit Card
SUB-910377,CUST-10872,Clube Special 3k,129.90,3000,2022-04-30T07:00:00Z,Paid,Auto Debit
SUB-904345,CUST-10368,Clube Special 3k,129.90,3000,2022-05-02T09:00:00Z,Paid,Credit Card
SUB-905691,CUST-10487,Clube Special 3k,129.90,3000,2022-05-03T07:00:00Z,Paid,Credit Card
SUB-900449,CUST-10034,Clube Top 20k,799.90,20000,2022-05-03T10:00:00Z,Paid,Credit Card
SUB-900043,CUST-10004,Clube Super 10k,489.90,10000,2022-05-04T08:00:00Z,Paid,Credit Card
SUB-908629,CUST-10729,Clube Top 20k,799.90,20000,2022-05-04T09:00:00Z,Paid,Credit Card
SUB-911614,CUST-10979,Clube Super 10k,489.90,10000,2022-05-04T11:00:00Z,Paid,Credit Card
SUB-910244,CUST-10856,Clube Super 10k,489.90,10000,2022-05-04T12:00:00Z,Paid,PIX Auto
SUB-908839,CUST-10742,Clube Classic 1k,44.90,1000,2022-05-05T10:00:00Z,Paid,Credit Card
SUB-900922,CUST-10076,Clube Plus 5k,219.90,0,2022-05-05T11:00:00Z,Payment Failed,Credit Card
SUB-906336,CUST-10552,Clube Top 20k,799.90,20000,2022-05-05T11:00:00Z,Paid,Auto Debit
SUB-908854,CUST-10743,Clube Super 10k,489.90,10000,2022-05-05T11:00:00Z,Paid,Credit Card
SUB-907508,CUST-10643,Clube Plus 5k,219.90,5000,2022-05-06T12:00:00Z,Paid,Credit Card
SUB-900181,CUST-10014,Clube Super 10k,489.90,10000,2022-05-07T06:00:00Z,Paid,Credit Card
SUB-904513,CUST-10388,Clube Plus 5k,219.90,5000,2022-05-07T06:00:00Z,Paid,Credit Card
SUB-901882,CUST-10155,Clube Super 10k,489.90,10000,2022-05-07T07:00:00Z,Paid,Credit Card
SUB-903387,CUST-10268,Clube Top 20k,799.90,20000,2022-05-07T10:00:00Z,Paid,Credit Card
SUB-903675,CUST-10298,Clube Classic 1k,44.90,1000,2022-05-08T11:00:00Z,Paid,Credit Card
SUB-908950,CUST-10753,Clube Top 20k,799.90,20000,2022-05-09T07:00:00Z,Paid,PIX Auto
SUB-903680,CUST-10299,Clube Top 20k,799.90,20000,2022-05-09T10:00:00Z,Paid,Auto Debit
SUB-903746,CUST-10302,Clube Super 10k,489.90,10000,2022-05-10T07:00:00Z,Paid,Credit Card
SUB-906063,CUST-10530,Clube Special 3k,129.90,3000,2022-05-10T11:00:00Z,Paid,PIX Auto
SUB-907573,CUST-10650,Clube Super 10k,489.90,10000,2022-05-10T11:00:00Z,Paid,Credit Card
SUB-904527,CUST-10389,Clube Super 10k,489.90,10000,2022-05-10T12:00:00Z,Paid,Credit Card
SUB-900996,CUST-10081,Clube Super 10k,489.90,10000,2022-05-11T12:00:00Z,Paid,Credit Card
SUB-904339,CUST-10365,Clube Plus 5k,219.90,5000,2022-05-11T12:00:00Z,Paid,PIX Auto
SUB-906909,CUST-10592,Clube Top 20k,799.90,20000,2022-05-11T12:00:00Z,Paid,Credit Card
SUB-908720,CUST-10734,Clube Plus 5k,219.90,5000,2022-05-13T06:00:00Z,Paid,PIX Auto
SUB-905776,CUST-10500,Clube Special 3k,129.90,3000,2022-05-13T09:00:00Z,Paid,Auto Debit
SUB-901947,CUST-10158,Clube Super 10k,489.90,10000,2022-05-14T07:00:00Z,Paid,PIX Auto
SUB-904591,CUST-10394,Clube Special 3k,129.90,3000,2022-05-14T11:00:00Z,Paid,Auto Debit
SUB-905308,CUST-10454,Clube Plus 5k,219.90,5000,2022-05-15T06:00:00Z,Paid,Credit Card
SUB-910741,CUST-10900,Clube Top 20k,799.90,20000,2022-05-15T06:00:00Z,Paid,Credit Card
SUB-900021,CUST-10003,Clube Top 20k,799.90,20000,2022-05-15T07:00:00Z,Paid,Credit Card
SUB-903795,CUST-10305,Clube Top 20k,799.90,20000,2022-05-15T08:00:00Z,Paid,Credit Card
SUB-910676,CUST-10896,Clube Super 10k,489.90,10000,2022-05-15T09:00:00Z,Paid,PIX Auto
SUB-906246,CUST-10545,Clube Top 20k,799.90,20000,2022-05-16T11:00:00Z,Paid,Auto Debit
SUB-910528,CUST-10884,Clube Special 3k,129.90,3000,2022-05-17T08:00:00Z,Paid,Credit Card
SUB-900663,CUST-10057,Clube Plus 5k,219.90,5000,2022-05-17T09:00:00Z,Paid,Credit Card
SUB-908527,CUST-10721,Clube Top 20k,799.90,20000,2022-05-17T11:00:00Z,Paid,PIX Auto
SUB-909819,CUST-10824,Clube Top 20k,799.90,20000,2022-05-17T11:00:00Z,Paid,Credit Card
SUB-901623,CUST-10135,Clube Top 20k,799.90,20000,2022-05-17T12:00:00Z,Paid,Credit Card
SUB-904015,CUST-10329,Clube Super 10k,489.90,10000,2022-05-18T08:00:00Z,Paid,PIX Auto
SUB-907503,CUST-10642,Clube Plus 5k,219.90,0,2022-05-19T10:00:00Z,Refunded,PIX Auto
SUB-909099,CUST-10765,Clube Super 10k,489.90,10000,2022-05-19T10:00:00Z,Paid,Credit Card
SUB-908426,CUST-10717,Clube Special 3k,129.90,3000,2022-05-19T11:00:00Z,Paid,PIX Auto
SUB-901508,CUST-10125,Clube Super 10k,489.90,10000,2022-05-19T12:00:00Z,Paid,Credit Card
SUB-904819,CUST-10411,Clube Plus 5k,219.90,5000,2022-05-20T07:00:00Z,Paid,Auto Debit
SUB-909157,CUST-10770,Clube Top 20k,799.90,20000,2022-05-20T07:00:00Z,Paid,PIX Auto
SUB-902721,CUST-10224,Clube Super 10k,489.90,10000,2022-05-20T10:00:00Z,Paid,Credit Card
SUB-900521,CUST-10043,Clube Plus 5k,219.90,5000,2022-05-20T12:00:00Z,Paid,Auto Debit
SUB-901863,CUST-10153,Clube Classic 1k,44.90,1000,2022-05-21T11:00:00Z,Paid,Credit Card
SUB-906755,CUST-10579,Clube Classic 1k,44.90,0,2022-05-21T12:00:00Z,Cancelled,Credit Card
SUB-906192,CUST-10543,Clube Top 20k,799.90,20000,2022-05-22T07:00:00Z,Paid,Credit Card
SUB-911762,CUST-10993,Clube Plus 5k,219.90,5000,2022-05-22T10:00:00Z,Paid,Credit Card
SUB-910078,CUST-10846,Clube Super 10k,489.90,10000,2022-05-22T11:00:00Z,Paid,Credit Card
SUB-910453,CUST-10880,Clube Top 20k,799.90,20000,2022-05-23T07:00:00Z,Paid,Credit Card
SUB-910357,CUST-10871,Clube Super 10k,489.90,10000,2022-05-23T12:00:00Z,Paid,Credit Card
SUB-910436,CUST-10877,Clube Super 10k,489.90,0,2022-05-24T07:00:00Z,Payment Failed,Credit Card
SUB-901400,CUST-10119,Clube Super 10k,489.90,10000,2022-05-25T08:00:00Z,Paid,Credit Card
SUB-904497,CUST-10386,Clube Super 10k,489.90,10000,2022-05-25T08:00:00Z,Paid,PIX Auto
SUB-907973,CUST-10679,Clube Special 3k,129.90,3000,2022-05-25T09:00:00Z,Paid,Auto Debit
SUB-902862,CUST-10235,Clube Super 10k,489.90,0,2022-05-26T07:00:00Z,Payment Failed,Credit Card
SUB-904376,CUST-10372,Clube Top 20k,799.90,20000,2022-05-26T09:00:00Z,Paid,Auto Debit
SUB-903407,CUST-10269,Clube Top 20k,799.90,20000,2022-05-26T11:00:00Z,Paid,Credit Card
SUB-908246,CUST-10700,Clube Classic 1k,44.90,1000,2022-05-26T12:00:00Z,Paid,Auto Debit
SUB-905643,CUST-10481,Clube Classic 1k,44.90,0,2022-05-27T11:00:00Z,Payment Failed,Credit Card
SUB-909347,CUST-10784,Clube Plus 5k,219.90,5000,2022-05-27T11:00:00Z,Paid,Auto Debit
SUB-910655,CUST-10893,Clube Plus 5k,219.90,0,2022-05-28T12:00:00Z,Payment Failed,Credit Card
SUB-906966,CUST-10597,Clube Plus 5k,219.90,5000,2022-05-29T06:00:00Z,Paid,Credit Card
SUB-907083,CUST-10604,Clube Super 10k,489.90,10000,2022-05-29T06:00:00Z,Paid,Credit Card
SUB-901084,CUST-10090,Clube Top 20k,799.90,20000,2022-05-29T08:00:00Z,Paid,Credit Card
SUB-908475,CUST-10719,Clube Top 20k,799.90,20000,2022-05-29T08:00:00Z,Paid,Credit Card
SUB-903935,CUST-10319,Clube Special 3k,129.90,3000,2022-05-29T10:00:00Z,Paid,Credit Card
SUB-910378,CUST-10872,Clube Special 3k,129.90,3000,2022-05-30T12:00:00Z,Paid,Auto Debit
SUB-901062,CUST-10087,Clube Super 10k,489.90,10000,2022-05-31T06:00:00Z,Paid,Credit Card
SUB-906877,CUST-10589,Clube Special 3k,129.90,3000,2022-06-01T08:00:00Z,Paid,Credit Card
SUB-911181,CUST-10942,Clube Classic 1k,44.90,1000,2022-06-01T08:00:00Z,Paid,Credit Card
SUB-906031,CUST-10524,Clube Plus 5k,219.90,5000,2022-06-01T09:00:00Z,Paid,PIX Auto
SUB-904346,CUST-10368,Clube Special 3k,129.90,3000,2022-06-01T12:00:00Z,Paid,Credit Card
SUB-900450,CUST-10034,Clube Top 20k,799.90,20000,2022-06-02T07:00:00Z,Paid,Credit Card
SUB-905692,CUST-10487,Clube Special 3k,129.90,3000,2022-06-02T08:00:00Z,Paid,Credit Card
SUB-911529,CUST-10973,Clube Super 10k,489.90,10000,2022-06-03T06:00:00Z,Paid,Credit Card
SUB-911615,CUST-10979,Clube Super 10k,489.90,10000,2022-06-03T06:00:00Z,Paid,Credit Card
SUB-908630,CUST-10729,Clube Top 20k,799.90,20000,2022-06-03T07:00:00Z,Paid,Credit Card
SUB-910245,CUST-10856,Clube Super 10k,489.90,10000,2022-06-03T08:00:00Z,Paid,PIX Auto
SUB-900044,CUST-10004,Clube Super 10k,489.90,10000,2022-06-03T12:00:00Z,Paid,Credit Card
SUB-908840,CUST-10742,Clube Classic 1k,44.90,1000,2022-06-04T06:00:00Z,Paid,Credit Card
SUB-911681,CUST-10983,Clube Classic 1k,44.90,1000,2022-06-04T07:00:00Z,Paid,Credit Card
SUB-906337,CUST-10552,Clube Top 20k,799.90,20000,2022-06-04T09:00:00Z,Paid,Auto Debit
SUB-908855,CUST-10743,Clube Super 10k,489.90,10000,2022-06-04T09:00:00Z,Paid,Credit Card
SUB-900923,CUST-10076,Clube Plus 5k,219.90,0,2022-06-04T12:00:00Z,Cancelled,Credit Card
SUB-907509,CUST-10643,Clube Plus 5k,219.90,5000,2022-06-05T08:00:00Z,Paid,Credit Card
SUB-904514,CUST-10388,Clube Plus 5k,219.90,5000,2022-06-06T07:00:00Z,Paid,Credit Card
SUB-901883,CUST-10155,Clube Super 10k,489.90,10000,2022-06-06T10:00:00Z,Paid,Credit Card
SUB-903388,CUST-10268,Clube Top 20k,799.90,20000,2022-06-06T10:00:00Z,Paid,Credit Card
SUB-900182,CUST-10014,Clube Super 10k,489.90,10000,2022-06-06T11:00:00Z,Paid,Credit Card
SUB-903676,CUST-10298,Clube Classic 1k,44.90,0,2022-06-07T06:00:00Z,Payment Failed,Credit Card
SUB-908951,CUST-10753,Clube Top 20k,799.90,20000,2022-06-08T07:00:00Z,Paid,PIX Auto
SUB-903681,CUST-10299,Clube Top 20k,799.90,20000,2022-06-08T08:00:00Z,Paid,Auto Debit
SUB-908286,CUST-10705,Clube Super 10k,489.90,10000,2022-06-08T08:00:00Z,Paid,Credit Card
SUB-906064,CUST-10530,Clube Special 3k,129.90,3000,2022-06-09T06:00:00Z,Paid,PIX Auto
SUB-903747,CUST-10302,Clube Super 10k,489.90,10000,2022-06-09T08:00:00Z,Paid,Credit Card
SUB-904528,CUST-10389,Clube Super 10k,489.90,10000,2022-06-09T09:00:00Z,Paid,Credit Card
SUB-907574,CUST-10650,Clube Super 10k,489.90,10000,2022-06-09T09:00:00Z,Paid,Credit Card
SUB-911004,CUST-10925,Clube Classic 1k,44.90,1000,2022-06-09T09:00:00Z,Paid,PIX Auto
SUB-900997,CUST-10081,Clube Super 10k,489.90,0,2022-06-10T06:00:00Z,Cancelled,Credit Card
SUB-904340,CUST-10365,Clube Plus 5k,219.90,5000,2022-06-10T07:00:00Z,Paid,PIX Auto
SUB-906910,CUST-10592,Clube Top 20k,799.90,20000,2022-06-10T09:00:00Z,Paid,Credit Card
SUB-908553,CUST-10723,Clube Classic 1k,44.90,1000,2022-06-11T10:00:00Z,Paid,Credit Card
SUB-900299,CUST-10023,Clube Super 10k,489.90,10000,2022-06-12T09:00:00Z,Paid,Auto Debit
SUB-905777,CUST-10500,Clube Special 3k,129.90,3000,2022-06-12T09:00:00Z,Paid,Auto Debit
SUB-908721,CUST-10734,Clube Plus 5k,219.90,5000,2022-06-12T11:00:00Z,Paid,PIX Auto
SUB-901948,CUST-10158,Clube Super 10k,489.90,10000,2022-06-13T08:00:00Z,Paid,PIX Auto
SUB-904592,CUST-10394,Clube Special 3k,129.90,3000,2022-06-13T12:00:00Z,Paid,Auto Debit
SUB-903796,CUST-10305,Clube Top 20k,799.90,20000,2022-06-14T06:00:00Z,Paid,Credit Card
SUB-910742,CUST-10900,Clube Top 20k,799.90,20000,2022-06-14T09:00:00Z,Paid,Credit Card
SUB-905309,CUST-10454,Clube Plus 5k,219.90,5000,2022-06-14T10:00:00Z,Paid,Credit Card
SUB-910677,CUST-10896,Clube Super 10k,489.90,10000,2022-06-14T11:00:00Z,Paid,PIX Auto
SUB-900022,CUST-10003,Clube Top 20k,799.90,20000,2022-06-14T12:00:00Z,Paid,Credit Card
SUB-900560,CUST-10048,Clube Top 20k,799.90,0,2022-06-14T12:00:00Z,Payment Failed,Credit Card
SUB-906625,CUST-10570,Clube Classic 1k,44.90,0,2022-06-15T06:00:00Z,Payment Failed,PIX Auto
SUB-906247,CUST-10545,Clube Top 20k,799.90,20000,2022-06-15T10:00:00Z,Paid,Auto Debit
SUB-900800,CUST-10066,Clube Special 3k,129.90,3000,2022-06-15T11:00:00Z,Paid,Credit Card
SUB-909820,CUST-10824,Clube Top 20k,799.90,20000,2022-06-16T07:00:00Z,Paid,Credit Card
SUB-901624,CUST-10135,Clube Top 20k,799.90,20000,2022-06-16T08:00:00Z,Paid,Credit Card
SUB-908528,CUST-10721,Clube Top 20k,799.90,20000,2022-06-16T08:00:00Z,Paid,PIX Auto
SUB-910529,CUST-10884,Clube Special 3k,129.90,3000,2022-06-16T08:00:00Z,Paid,Credit Card
SUB-900664,CUST-10057,Clube Plus 5k,219.90,5000,2022-06-16T09:00:00Z,Paid,Credit Card
SUB-904016,CUST-10329,Clube Super 10k,489.90,10000,2022-06-17T09:00:00Z,Paid,PIX Auto
SUB-901528,CUST-10126,Clube Plus 5k,219.90,5000,2022-06-17T11:00:00Z,Paid,Credit Card
SUB-907208,CUST-10619,Clube Top 20k,799.90,20000,2022-06-17T12:00:00Z,Paid,Credit Card
SUB-909100,CUST-10765,Clube Super 10k,489.90,10000,2022-06-18T06:00:00Z,Paid,Credit Card
