InteractionId,CustomerId,ProductId,InteractionType,InteractionDate
INT-105043,CUST-10891,PROD-050,View,2022-01-07T22:49:00Z
INT-105312,CUST-10785,PROD-033,View,2022-01-07T23:52:00Z
INT-114048,CUST-10638,PROD-001,View,2022-01-08T01:38:00Z
INT-116606,CUST-10325,PROD-019,CartAdd,2022-01-08T02:29:00Z
INT-115857,CUST-10804,PROD-049,Wishlist,2022-01-08T04:42:00Z
INT-106052,CUST-10625,PROD-017,View,2022-01-08T06:58:00Z
INT-115992,CUST-10051,PROD-031,CartAdd,2022-01-08T07:28:00Z
INT-108988,CUST-10534,PROD-027,View,2022-01-08T08:24:00Z
INT-119634,CUST-10217,PROD-026,View,2022-01-08T09:32:00Z
INT-106938,CUST-10698,PROD-042,View,2022-01-08T10:17:00Z
INT-105030,CUST-10095,PROD-040,View,2022-01-08T11:04:00Z
INT-103967,CUST-10044,PROD-024,View,2022-01-08T14:26:00Z
INT-112775,CUST-10884,PROD-025,View,2022-01-09T02:57:00Z
INT-101227,CUST-10776,PROD-025,View,2022-01-09T06:48:00Z
INT-100833,CUST-10212,PROD-011,View,2022-01-09T07:14:00Z
INT-116868,CUST-10639,PROD-043,Wishlist,2022-01-09T08:08:00Z
INT-114586,CUST-10505,PROD-012,View,2022-01-09T09:32:00Z
INT-114298,CUST-10917,PROD-042,View,2022-01-09T10:45:00Z
INT-100678,CUST-10510,PROD-011,View,2022-01-09T11:39:00Z
INT-113540,CUST-10970,PROD-037,View,2022-01-09T17:46:00Z
INT-117125,CUST-10322,PROD-028,View,2022-01-09T17:52:00Z
INT-109774,CUST-10415,PROD-048,Wishlist,2022-01-09T18:40:00Z
INT-104463,CUST-10543,PROD-006,View,2022-01-09T18:41:00Z
INT-100174,CUST-10012,PROD-016,View,2022-01-09T21:21:00Z
INT-119950,CUST-10722,PROD-029,View,2022-01-09T21:34:00Z
INT-102048,CUST-10121,PROD-040,Wishlist,2022-01-10T03:50:00Z
INT-106260,CUST-10786,PROD-015,View,2022-01-10T06:20:00Z
INT-112607,CUST-10886,PROD-002,Wishlist,2022-01-10T06:28:00Z
INT-112655,CUST-10024,PROD-002,View,2022-01-10T09:27:00Z
INT-101759,CUST-10672,PROD-038,View,2022-01-10T13:19:00Z
INT-103274,CUST-10513,PROD-049,View,2022-01-10T16:05:00Z
INT-111552,CUST-10918,PROD-022,View,2022-01-10T16:09:00Z
INT-112363,CUST-10353,PROD-001,Wishlist,2022-01-10T16:25:00Z
INT-118288,CUST-10599,PROD-020,View,2022-01-10T17:17:00Z
INT-114207,CUST-10425,PROD-012,View,2022-01-10T17:37:00Z
INT-110545,CUST-10762,PROD-029,View,2022-01-10T17:45:00Z
INT-116864,CUST-10808,PROD-020,Wishlist,2022-01-10T17:48:00Z
INT-108264,CUST-10278,PROD-030,View,2022-01-10T19:18:00Z
INT-113543,CUST-10014,PROD-048,View,2022-01-10T20:27:00Z
INT-108846,CUST-10338,PROD-030,View,2022-01-10T21:25:00Z
INT-106584,CUST-10494,PROD-049,View,2022-01-10T23:38:00Z
INT-102827,CUST-10161,PROD-029,View,2022-01-11T01:43:00Z
INT-119072,CUST-10857,PROD-030,View,2022-01-11T02:07:00Z
INT-102987,CUST-10922,PROD-003,View,2022-01-11T03:35:00Z
INT-114395,CUST-10489,PROD-010,CartAdd,2022-01-11T06:12:00Z
INT-111938,CUST-10005,PROD-020,CartAdd,2022-01-11T07:10:00Z
INT-118025,CUST-10702,PROD-031,View,2022-01-11T08:01:00Z
INT-110310,CUST-10967,PROD-023,View,2022-01-11T08:46:00Z
INT-118806,CUST-10089,PROD-002,View,2022-01-11T11:38:00Z
INT-106778,CUST-10021,PROD-032,View,2022-01-11T19:39:00Z
INT-119454,CUST-10015,PROD-046,View,2022-01-11T20:00:00Z
INT-110661,CUST-10451,PROD-042,View,2022-01-11T20:16:00Z
INT-109644,CUST-10233,PROD-003,View,2022-01-12T02:17:00Z
INT-118118,CUST-10013,PROD-015,View,2022-01-12T07:54:00Z
INT-106788,CUST-10104,PROD-022,View,2022-01-12T09:18:00Z
INT-111318,CUST-10410,PROD-003,CartAdd,2022-01-12T12:28:00Z
INT-113724,CUST-10827,PROD-004,View,2022-01-12T20:53:00Z
INT-109221,CUST-10541,PROD-049,View,2022-01-12T22:01:00Z
INT-106622,CUST-10216,PROD-046,Wishlist,2022-01-12T23:44:00Z
INT-107924,CUST-10484,PROD-030,View,2022-01-13T04:39:00Z
INT-114564,CUST-10204,PROD-048,View,2022-01-13T06:13:00Z
INT-105311,CUST-10630,PROD-030,View,2022-01-13T15:09:00Z
INT-106318,CUST-10506,PROD-019,View,2022-01-13T15:39:00Z
INT-108699,CUST-10181,PROD-048,Wishlist,2022-01-13T19:34:00Z
INT-118920,CUST-10485,PROD-019,Wishlist,2022-01-13T19:48:00Z
INT-102565,CUST-10614,PROD-025,View,2022-01-13T20:03:00Z
INT-118094,CUST-10249,PROD-003,View,2022-01-13T21:43:00Z
INT-107052,CUST-10291,PROD-013,View,2022-01-14T00:09:00Z
INT-104561,CUST-10015,PROD-020,CartAdd,2022-01-14T00:14:00Z
INT-106767,CUST-10708,PROD-014,View,2022-01-14T05:15:00Z
INT-111793,CUST-10152,PROD-010,CartAdd,2022-01-14T07:16:00Z
INT-117323,CUST-10835,PROD-035,View,2022-01-14T11:39:00Z
INT-113801,CUST-10469,PROD-016,View,2022-01-14T13:08:00Z
INT-108331,CUST-10523,PROD-027,CartAdd,2022-01-14T14:45:00Z
INT-109731,CUST-10963,PROD-034,CartAdd,2022-01-14T15:49:00Z
INT-119615,CUST-10080,PROD-039,View,2022-01-14T16:00:00Z
INT-107502,CUST-10011,PROD-029,View,2022-01-14T17:35:00Z
INT-117694,CUST-10204,PROD-005,View,2022-01-14T18:45:00Z
INT-115662,CUST-10267,PROD-030,View,2022-01-14T20:43:00Z
INT-108089,CUST-10757,PROD-002,View,2022-01-14T20:52:00Z
INT-108574,CUST-10740,PROD-034,View,2022-01-14T22:28:00Z
INT-106481,CUST-10639,PROD-022,View,2022-01-14T23:27:00Z
INT-111519,CUST-10066,PROD-025,View,2022-01-14T23:31:00Z
INT-115212,CUST-10999,PROD-010,View,2022-01-14T23:35:00Z
INT-109727,CUST-10032,PROD-027,View,2022-01-15T08:57:00Z
INT-104464,CUST-10081,PROD-038,View,2022-01-15T10:27:00Z
INT-119466,CUST-10926,PROD-033,View,2022-01-15T10:31:00Z
INT-119802,CUST-10250,PROD-038,View,2022-01-15T14:49:00Z
INT-119942,CUST-10070,PROD-040,View,2022-01-15T16:46:00Z
INT-115706,CUST-10146,PROD-016,View,2022-01-15T17:51:00Z
INT-118079,CUST-10504,PROD-026,View,2022-01-15T19:12:00Z
INT-108888,CUST-10609,PROD-025,View,2022-01-15T20:40:00Z
INT-109950,CUST-10421,PROD-018,Wishlist,2022-01-15T21:08:00Z
INT-117893,CUST-10699,PROD-027,View,2022-01-16T00:01:00Z
INT-100368,CUST-10366,PROD-038,View,2022-01-16T00:15:00Z
INT-110357,CUST-11000,PROD-022,View,2022-01-16T01:03:00Z
INT-115186,CUST-10850,PROD-021,Wishlist,2022-01-16T02:48:00Z
INT-108249,CUST-10323,PROD-042,Wishlist,2022-01-16T02:50:00Z
INT-105008,CUST-10551,PROD-006,View,2022-01-16T04:37:00Z
INT-114213,CUST-10045,PROD-023,View,2022-01-16T05:28:00Z
INT-114690,CUST-10454,PROD-048,Wishlist,2022-01-16T05:48:00Z
INT-102390,CUST-10842,PROD-043,View,2022-01-16T06:20:00Z
INT-112679,CUST-10074,PROD-027,View,2022-01-16T08:54:00Z
INT-119924,CUST-10462,PROD-043,View,2022-01-16T11:46:00Z
INT-113893,CUST-10067,PROD-026,View,2022-01-16T13:10:00Z
INT-116515,CUST-10098,PROD-047,View,2022-01-16T14:36:00Z
INT-113601,CUST-10993,PROD-050,CartAdd,2022-01-16T16:44:00Z
INT-100118,CUST-10503,PROD-014,Wishlist,2022-01-16T17:32:00Z
INT-117285,CUST-10879,PROD-005,View,2022-01-16T20:09:00Z
INT-115025,CUST-10859,PROD-046,View,2022-01-17T00:16:00Z
INT-102252,CUST-10458,PROD-022,View,2022-01-17T01:43:00Z
INT-111372,CUST-10204,PROD-025,CartAdd,2022-01-17T08:34:00Z
INT-106072,CUST-10586,PROD-045,View,2022-01-17T09:54:00Z
INT-110779,CUST-10668,PROD-049,View,2022-01-17T11:26:00Z
INT-101319,CUST-10434,PROD-005,View,2022-01-17T12:14:00Z
INT-115244,CUST-10535,PROD-034,CartAdd,2022-01-17T15:37:00Z
INT-118085,CUST-10322,PROD-030,View,2022-01-17T16:00:00Z
INT-102829,CUST-10342,PROD-037,View,2022-01-17T17:54:00Z
INT-104802,CUST-10365,PROD-049,View,2022-01-17T19:16:00Z
INT-103330,CUST-10541,PROD-043,View,2022-01-17T20:01:00Z
INT-108987,CUST-10389,PROD-013,View,2022-01-17T20:58:00Z
INT-101105,CUST-10443,PROD-014,View,2022-01-17T21:07:00Z
INT-102289,CUST-10531,PROD-042,View,2022-01-17T23:56:00Z
INT-119474,CUST-10074,PROD-029,View,2022-01-18T01:40:00Z
INT-106948,CUST-10396,PROD-011,View,2022-01-18T01:46:00Z
INT-111414,CUST-10379,PROD-013,View,2022-01-18T07:52:00Z
INT-107068,CUST-10289,PROD-011,View,2022-01-18T18:13:00Z
INT-102031,CUST-10093,PROD-027,View,2022-01-18T19:51:00Z
INT-104232,CUST-10998,PROD-035,View,2022-01-19T01:32:00Z
INT-111847,CUST-10990,PROD-023,View,2022-01-19T01:58:00Z
INT-100269,CUST-10760,PROD-019,View,2022-01-19T02:26:00Z
INT-105775,CUST-10662,PROD-001,View,2022-01-19T03:47:00Z
INT-111993,CUST-10752,PROD-010,View,2022-01-19T03:55:00Z
INT-116379,CUST-10826,PROD-011,View,2022-01-19T04:20:00Z
INT-117416,CUST-10169,PROD-010,View,2022-01-19T05:16:00Z
INT-103969,CUST-10962,PROD-024,View,2022-01-19T05:18:00Z
INT-102620,CUST-10950,PROD-030,View,2022-01-19T07:40:00Z
INT-117124,CUST-10895,PROD-047,View,2022-01-19T10:20:00Z
INT-101630,CUST-10443,PROD-025,Wishlist,2022-01-19T10:25:00Z
INT-105815,CUST-10838,PROD-014,View,2022-01-19T13:43:00Z
INT-110366,CUST-10078,PROD-039,Wishlist,2022-01-19T13:56:00Z
INT-109004,CUST-10436,PROD-023,View,2022-01-19T15:10:00Z
INT-108061,CUST-10507,PROD-049,View,2022-01-19T15:19:00Z
INT-114344,CUST-10488,PROD-015,Wishlist,2022-01-19T15:24:00Z
INT-113444,CUST-10622,PROD-048,Wishlist,2022-01-19T16:53:00Z
INT-107555,CUST-10344,PROD-003,Wishlist,2022-01-19T19:07:00Z
INT-116015,CUST-10845,PROD-009,View,2022-01-19T21:33:00Z
INT-109415,CUST-10078,PROD-035,View,2022-01-19T22:06:00Z
INT-103786,CUST-10192,PROD-048,View,2022-01-20T09:23:00Z
INT-119002,CUST-10821,PROD-033,View,2022-01-20T14:01:00Z
INT-113380,CUST-10149,PROD-029,View,2022-01-20T15:06:00Z
INT-107631,CUST-10304,PROD-006,Wishlist,2022-01-20T16:48:00Z
INT-101324,CUST-10292,PROD-046,View,2022-01-20T20:37:00Z
INT-109690,CUST-10240,PROD-035,View,2022-01-20T21:24:00Z
INT-114465,CUST-10856,PROD-006,Wishlist,2022-01-21T02:33:00Z
INT-117804,CUST-10052,PROD-045,View,2022-01-21T05:22:00Z
INT-102526,CUST-10574,PROD-008,View,2022-01-21T06:07:00Z
INT-112544,CUST-10009,PROD-019,CartAdd,2022-01-21T09:06:00Z
INT-113359,CUST-10979,PROD-002,View,2022-01-21T09:23:00Z
INT-114204,CUST-10362,PROD-035,View,2022-01-21T12:00:00Z
INT-110886,CUST-10936,PROD-019,Wishlist,2022-01-21T12:11:00Z
INT-102279,CUST-10803,PROD-022,View,2022-01-21T12:15:00Z
INT-104023,CUST-10672,PROD-039,View,2022-01-21T14:26:00Z
INT-108683,CUST-10877,PROD-019,Wishlist,2022-01-21T18:39:00Z
INT-104705,CUST-10595,PROD-013,View,2022-01-21T21:49:00Z
INT-109681,CUST-10976,PROD-029,View,2022-01-22T00:58:00Z
INT-114594,CUST-10120,PROD-045,View,2022-01-22T08:04:00Z
INT-114467,CUST-10993,PROD-048,View,2022-01-22T09:19:00Z
INT-107026,CUST-10177,PROD-042,View,2022-01-22T12:18:00Z
INT-103396,CUST-10627,PROD-027,View,2022-01-22T12:43:00Z
INT-105864,CUST-10477,PROD-003,View,2022-01-22T15:07:00Z
INT-102775,CUST-10214,PROD-008,View,2022-01-22T16:06:00Z
INT-102220,CUST-10741,PROD-012,View,2022-01-22T23:26:00Z
INT-107416,CUST-10422,PROD-037,View,2022-01-23T03:23:00Z
INT-105419,CUST-10314,PROD-014,View,2022-01-23T05:25:00Z
INT-104060,CUST-10334,PROD-031,View,2022-01-23T07:39:00Z
INT-113691,CUST-10078,PROD-050,View,2022-01-23T08:48:00Z
INT-116654,CUST-10543,PROD-038,View,2022-01-23T12:36:00Z
INT-104953,CUST-10257,PROD-036,View,2022-01-23T15:24:00Z
INT-109714,CUST-10803,PROD-028,View,2022-01-23T15:38:00Z
INT-116900,CUST-10411,PROD-043,View,2022-01-23T15:49:00Z
INT-100680,CUST-10702,PROD-009,View,2022-01-23T17:20:00Z
INT-101618,CUST-10508,PROD-028,View,2022-01-23T18:37:00Z
INT-103306,CUST-10741,PROD-015,View,2022-01-24T00:47:00Z
INT-116260,CUST-10220,PROD-027,View,2022-01-24T02:56:00Z
INT-114886,CUST-10626,PROD-024,View,2022-01-24T03:08:00Z
INT-105450,CUST-10306,PROD-027,CartAdd,2022-01-24T05:13:00Z
INT-102290,CUST-10624,PROD-042,View,2022-01-24T06:09:00Z
INT-106646,CUST-10609,PROD-024,Wishlist,2022-01-24T09:31:00Z
INT-103633,CUST-10208,PROD-017,View,2022-01-24T10:07:00Z
INT-110697,CUST-10825,PROD-007,View,2022-01-24T12:09:00Z
INT-100088,CUST-10059,PROD-009,CartAdd,2022-01-24T18:50:00Z
INT-106848,CUST-10598,PROD-033,View,2022-01-24T20:17:00Z
INT-103814,CUST-10504,PROD-027,View,2022-01-24T20:58:00Z
INT-101804,CUST-10660,PROD-013,View,2022-01-24T22:26:00Z
INT-104637,CUST-10552,PROD-045,View,2022-01-25T03:57:00Z
INT-114760,CUST-10624,PROD-044,View,2022-01-25T05:48:00Z
INT-103701,CUST-10494,PROD-006,View,2022-01-25T16:22:00Z
INT-105880,CUST-10776,PROD-001,View,2022-01-25T18:17:00Z
INT-110270,CUST-10658,PROD-045,View,2022-01-25T18:28:00Z
INT-113158,CUST-10340,PROD-023,View,2022-01-25T21:11:00Z
INT-106261,CUST-10124,PROD-015,View,2022-01-25T23:10:00Z
INT-110850,CUST-10852,PROD-003,View,2022-01-26T00:47:00Z
INT-111219,CUST-10365,PROD-037,View,2022-01-26T08:00:00Z
INT-107949,CUST-10723,PROD-033,View,2022-01-26T10:10:00Z
INT-111812,CUST-10410,PROD-032,View,2022-01-26T11:14:00Z
INT-117591,CUST-10517,PROD-016,View,2022-01-26T19:26:00Z
INT-119934,CUST-10192,PROD-048,View,2022-01-27T02:41:00Z
INT-110186,CUST-10868,PROD-036,View,2022-01-27T03:38:00Z
INT-108964,CUST-10545,PROD-038,Wishlist,2022-01-27T05:15:00Z
INT-106213,CUST-10323,PROD-049,View,2022-01-27T10:13:00Z
INT-119099,CUST-10064,PROD-044,View,2022-01-27T12:14:00Z
INT-112186,CUST-10917,PROD-002,Wishlist,2022-01-27T17:35:00Z
INT-112121,CUST-10387,PROD-025,View,2022-01-27T18:36:00Z
INT-115558,CUST-10505,PROD-014,View,2022-01-27T19:11:00Z
INT-109494,CUST-10208,PROD-015,View,2022-01-27T21:08:00Z
INT-117440,CUST-10624,PROD-001,Wishlist,2022-01-28T00:09:00Z
INT-102230,CUST-10884,PROD-028,View,2022-01-28T11:09:00Z
INT-103894,CUST-10240,PROD-012,View,2022-01-28T14:00:00Z
INT-102628,CUST-10178,PROD-029,View,2022-01-28T14:37:00Z
INT-108650,CUST-10002,PROD-017,View,2022-01-28T16:41:00Z
INT-108304,CUST-10736,PROD-044,View,2022-01-28T17:01:00Z
INT-100251,CUST-10892,PROD-039,Wishlist,2022-01-28T21:32:00Z
INT-107953,CUST-10869,PROD-045,View,2022-01-28T21:42:00Z
INT-115640,CUST-10747,PROD-026,View,2022-01-29T01:02:00Z
INT-119475,CUST-10051,PROD-034,View,2022-01-29T01:10:00Z
INT-105517,CUST-10476,PROD-018,View,2022-01-29T01:38:00Z
INT-104182,CUST-10386,PROD-045,View,2022-01-29T02:48:00Z
INT-116919,CUST-10698,PROD-047,View,2022-01-29T02:57:00Z
INT-108744,CUST-10090,PROD-049,View,2022-01-29T07:09:00Z
INT-117032,CUST-10480,PROD-032,View,2022-01-29T08:42:00Z
INT-119408,CUST-10151,PROD-043,View,2022-01-29T11:13:00Z
INT-117109,CUST-10765,PROD-044,View,2022-01-29T13:57:00Z
INT-100914,CUST-10206,PROD-040,CartAdd,2022-01-29T16:07:00Z
INT-104858,CUST-10136,PROD-039,View,2022-01-29T17:50:00Z
INT-118440,CUST-10038,PROD-041,View,2022-01-29T18:05:00Z
INT-102337,CUST-10789,PROD-022,View,2022-01-29T21:54:00Z
INT-106051,CUST-10531,PROD-050,View,2022-01-30T00:18:00Z
INT-117437,CUST-10682,PROD-004,Wishlist,2022-01-30T07:11:00Z
INT-113961,CUST-10150,PROD-022,View,2022-01-30T09:29:00Z
INT-113866,CUST-10932,PROD-015,View,2022-01-30T10:17:00Z
INT-111948,CUST-10981,PROD-049,View,2022-01-30T11:46:00Z
INT-107248,CUST-10805,PROD-050,View,2022-01-30T16:49:00Z
INT-100168,CUST-10269,PROD-016,View,2022-01-30T20:59:00Z
INT-113480,CUST-10409,PROD-046,View,2022-01-30T23:35:00Z
INT-108170,CUST-10591,PROD-010,View,2022-01-31T02:35:00Z
INT-119585,CUST-10255,PROD-007,View,2022-01-31T03:28:00Z
INT-112022,CUST-10751,PROD-006,CartAdd,2022-01-31T07:25:00Z
INT-110510,CUST-10569,PROD-001,View,2022-01-31T12:17:00Z
INT-111884,CUST-10531,PROD-043,View,2022-01-31T18:32:00Z
INT-116915,CUST-10487,PROD-022,View,2022-01-31T18:54:00Z
INT-105189,CUST-10327,PROD-034,View,2022-02-01T01:53:00Z
INT-112842,CUST-10380,PROD-038,View,2022-02-01T02:17:00Z
INT-109647,CUST-10441,PROD-041,Wishlist,2022-02-01T04:28:00Z
INT-110333,CUST-10139,PROD-012,View,2022-02-01T07:23:00Z
INT-115130,CUST-10214,PROD-008,View,2022-02-01T08:37:00Z
INT-109686,CUST-10824,PROD-047,Wishlist,2022-02-01T08:47:00Z
INT-103395,CUST-10682,PROD-005,View,2022-02-01T11:49:00Z
INT-112582,CUST-10765,PROD-047,View,2022-02-01T14:36:00Z
INT-108220,CUST-10820,PROD-011,View,2022-02-01T14:46:00Z
INT-115725,CUST-10762,PROD-010,View,2022-02-01T14:56:00Z
INT-118649,CUST-10930,PROD-025,View,2022-02-01T16:32:00Z
INT-115505,CUST-10775,PROD-035,View,2022-02-01T17:48:00Z
INT-105020,CUST-10814,PROD-005,View,2022-02-01T18:25:00Z
INT-111859,CUST-10047,PROD-047,View,2022-02-01T20:47:00Z
INT-118146,CUST-10853,PROD-008,View,2022-02-01T21:12:00Z
INT-100543,CUST-10623,PROD-010,View,2022-02-01T21:19:00Z
INT-104672,CUST-10644,PROD-049,View,2022-02-01T21:22:00Z
INT-111877,CUST-10973,PROD-031,View,2022-02-01T22:38:00Z
INT-115824,CUST-10631,PROD-046,Wishlist,2022-02-02T02:28:00Z
INT-118351,CUST-10092,PROD-005,CartAdd,2022-02-02T03:33:00Z
INT-105190,CUST-10226,PROD-010,View,2022-02-02T04:43:00Z
INT-117325,CUST-10219,PROD-025,View,2022-02-02T07:29:00Z
INT-117825,CUST-10602,PROD-012,View,2022-02-02T11:09:00Z
INT-107024,CUST-10384,PROD-003,View,2022-02-02T14:03:00Z
INT-100023,CUST-10878,PROD-026,Wishlist,2022-02-02T15:14:00Z
INT-119217,CUST-10929,PROD-012,View,2022-02-02T20:47:00Z
INT-108572,CUST-10234,PROD-022,View,2022-02-02T21:38:00Z
INT-106271,CUST-10263,PROD-025,View,2022-02-03T00:40:00Z
INT-101084,CUST-10867,PROD-040,Wishlist,2022-02-03T01:14:00Z
INT-110491,CUST-10809,PROD-021,View,2022-02-03T05:14:00Z
INT-110119,CUST-10280,PROD-041,View,2022-02-03T08:08:00Z
INT-105327,CUST-10317,PROD-009,View,2022-02-03T08:25:00Z
INT-102480,CUST-10893,PROD-011,View,2022-02-03T11:45:00Z
INT-118860,CUST-10622,PROD-013,View,2022-02-03T13:06:00Z
