CaseId,CustomerId,Subject,Category,Channel,Priority,Status,SatisfactionScore,CreatedDate,ResolvedDate
CASE-500046,CUST-10072,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,App Livelo,Low,Closed,5,2023-09-14T00:08:00Z,2023-09-22T00:08:00Z
CASE-500638,CUST-10904,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,High,Resolved,3,2023-09-18T18:06:00Z,2023-09-20T18:06:00Z
CASE-500682,CUST-10959,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Chat Web,Low,Closed,3,2023-09-24T05:07:00Z,2023-09-26T05:07:00Z
CASE-500281,CUST-10412,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,Low,Resolved,5,2023-10-01T12:21:00Z,2023-10-07T12:21:00Z
CASE-500688,CUST-10964,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Low,Closed,4,2023-10-02T03:19:00Z,2023-10-05T03:19:00Z
CASE-500402,CUST-10593,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,Low,Closed,5,2023-10-03T17:54:00Z,2023-10-12T17:54:00Z
CASE-500145,CUST-10224,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Critical,Closed,2,2023-10-07T17:48:00Z,2023-10-12T17:48:00Z
CASE-500481,CUST-10688,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,Low,Escalated,1,2023-10-13T07:13:00Z,
CASE-500537,CUST-10758,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,Medium,Resolved,4,2023-10-14T20:06:00Z,2023-10-17T20:06:00Z
CASE-500035,CUST-10055,Dúvida sobre validade dos pontos expirando,Atendimento,WhatsApp,High,Escalated,1,2023-10-17T03:10:00Z,
CASE-500621,CUST-10889,Voucher de Gift Card com código inválido,Resgate/Entrega,Telefone,Low,Closed,5,2023-10-19T01:47:00Z,2023-10-28T01:47:00Z
CASE-500040,CUST-10065,Solicitação de estorno de taxa de transferência,Financeiro,Telefone,Medium,Escalated,1,2023-10-20T09:34:00Z,
CASE-500470,CUST-10676,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,Medium,Closed,4,2023-10-22T08:43:00Z,2023-10-25T08:43:00Z
CASE-500090,CUST-10135,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,App Livelo,Low,Closed,5,2023-10-25T10:19:00Z,2023-10-28T10:19:00Z
CASE-500699,CUST-10982,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,High,Resolved,1,2023-11-02T04:01:00Z,2023-11-03T04:01:00Z
CASE-500695,CUST-10976,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Medium,Closed,5,2023-11-02T17:07:00Z,2023-11-12T17:07:00Z
CASE-500329,CUST-10486,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Telefone,High,Resolved,1,2023-11-03T11:48:00Z,2023-11-07T11:48:00Z
CASE-500023,CUST-10038,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,Medium,Closed,4,2023-11-04T10:51:00Z,2023-11-12T10:51:00Z
CASE-500011,CUST-10020,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,App Livelo,Medium,Closed,5,2023-11-06T20:06:00Z,2023-11-07T20:06:00Z
CASE-500247,CUST-10361,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Chat Web,Medium,Resolved,3,2023-11-08T03:44:00Z,2023-11-18T03:44:00Z
CASE-500036,CUST-10055,Alteração de endereço de entrega de pedido,Resgate/Entrega,App Livelo,Critical,Escalated,1,2023-11-11T18:15:00Z,
CASE-500010,CUST-10020,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Low,Resolved,5,2023-11-12T11:20:00Z,2023-11-22T11:20:00Z
CASE-500650,CUST-10920,Solicitação de estorno de taxa de transferência,Financeiro,WhatsApp,Low,Resolved,4,2023-11-14T10:41:00Z,2023-11-23T10:41:00Z
CASE-500463,CUST-10667,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Chat Web,Medium,Resolved,4,2023-11-15T11:08:00Z,2023-11-22T11:08:00Z
CASE-500652,CUST-10927,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,Critical,Closed,3,2023-11-15T14:03:00Z,2023-11-24T14:03:00Z
CASE-500368,CUST-10538,Alteração de endereço de entrega de pedido,Resgate/Entrega,Chat Web,Medium,Resolved,4,2023-11-16T21:29:00Z,2023-11-20T21:29:00Z
CASE-500276,CUST-10403,Produto entregue com avaria/defeito,Resgate/Entrega,Reclame Aqui,Low,Resolved,4,2023-11-18T07:50:00Z,2023-11-27T07:50:00Z
CASE-500120,CUST-10190,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,Critical,Resolved,1,2023-11-21T12:23:00Z,2023-11-25T12:23:00Z
CASE-500180,CUST-10262,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,Low,Closed,4,2023-11-26T11:05:00Z,2023-11-28T11:05:00Z
CASE-500264,CUST-10387,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,Medium,Closed,4,2023-11-27T22:41:00Z,2023-11-28T22:41:00Z
CASE-500099,CUST-10151,Dúvida sobre validade dos pontos expirando,Atendimento,Chat Web,Medium,Closed,4,2023-12-05T10:55:00Z,2023-12-07T10:55:00Z
CASE-500514,CUST-10723,Voucher de Gift Card com código inválido,Resgate/Entrega,App Livelo,Low,Closed,3,2023-12-05T23:22:00Z,2023-12-10T23:22:00Z
CASE-500656,CUST-10931,Produto entregue com avaria/defeito,Resgate/Entrega,WhatsApp,Critical,Resolved,4,2023-12-17T01:28:00Z,2023-12-22T01:28:00Z
CASE-500097,CUST-10149,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,WhatsApp,Low,Closed,4,2023-12-17T03:33:00Z,2023-12-27T03:33:00Z
CASE-500620,CUST-10888,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,Medium,Resolved,1,2023-12-21T19:15:00Z,2023-12-30T19:15:00Z
CASE-500702,CUST-10989,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,High,Resolved,2,2023-12-24T16:00:00Z,2023-12-29T16:00:00Z
CASE-500358,CUST-10523,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Escalated,2,2023-12-28T06:04:00Z,
CASE-500449,CUST-10649,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,High,In Progress,2,2023-12-29T13:20:00Z,
CASE-500586,CUST-10843,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Low,Resolved,5,2023-12-30T00:02:00Z,2024-01-02T00:02:00Z
CASE-500172,CUST-10256,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,High,Resolved,1,2023-12-30T21:21:00Z,2024-01-04T21:21:00Z
CASE-500132,CUST-10208,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,High,Closed,4,2024-01-01T15:52:00Z,2024-01-11T15:52:00Z
CASE-500107,CUST-10168,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Chat Web,Medium,Closed,5,2024-01-03T04:39:00Z,2024-01-12T04:39:00Z
CASE-500450,CUST-10649,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Critical,Resolved,1,2024-01-04T02:18:00Z,2024-01-08T02:18:00Z
CASE-500404,CUST-10594,Produto entregue com avaria/defeito,Resgate/Entrega,Reclame Aqui,Low,Resolved,4,2024-01-05T04:49:00Z,2024-01-13T04:49:00Z
CASE-500355,CUST-10521,Produto entregue com avaria/defeito,Resgate/Entrega,Chat Web,Low,Closed,3,2024-01-09T00:33:00Z,2024-01-15T00:33:00Z
CASE-500122,CUST-10190,Produto entregue com avaria/defeito,Resgate/Entrega,WhatsApp,Critical,Closed,1,2024-01-10T16:58:00Z,2024-01-13T16:58:00Z
CASE-500049,CUST-10076,Atraso na entrega de produto resgatado,Resgate/Entrega,Reclame Aqui,Medium,Escalated,1,2024-01-10T19:01:00Z,
CASE-500405,CUST-10595,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,Low,Closed,3,2024-01-11T04:04:00Z,2024-01-16T04:04:00Z
CASE-500197,CUST-10286,Alteração de endereço de entrega de pedido,Resgate/Entrega,WhatsApp,Low,Resolved,5,2024-01-21T02:26:00Z,2024-01-31T02:26:00Z
CASE-500373,CUST-10547,Atraso na entrega de produto resgatado,Resgate/Entrega,WhatsApp,High,Resolved,4,2024-01-22T10:22:00Z,2024-01-30T10:22:00Z
CASE-500422,CUST-10609,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Telefone,Low,Escalated,4,2024-01-23T21:36:00Z,
CASE-500477,CUST-10684,Voucher de Gift Card com código inválido,Resgate/Entrega,Chat Web,Low,Closed,5,2024-01-27T06:37:00Z,2024-02-03T06:37:00Z
CASE-500048,CUST-10074,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,High,Closed,1,2024-01-29T04:33:00Z,2024-02-07T04:33:00Z
CASE-500471,CUST-10677,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,App Livelo,High,Closed,5,2024-01-29T17:33:00Z,2024-02-02T17:33:00Z
CASE-500082,CUST-10123,Alteração de endereço de entrega de pedido,Resgate/Entrega,Telefone,Low,Closed,5,2024-02-01T11:25:00Z,2024-02-03T11:25:00Z
CASE-500231,CUST-10337,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,Critical,Resolved,1,2024-02-02T04:26:00Z,2024-02-06T04:26:00Z
CASE-500494,CUST-10700,Solicitação de estorno de taxa de transferência,Financeiro,Chat Web,High,Resolved,2,2024-02-04T00:07:00Z,2024-02-13T00:07:00Z
CASE-500229,CUST-10336,Atraso na entrega de produto resgatado,Resgate/Entrega,Telefone,High,Closed,1,2024-02-05T05:40:00Z,2024-02-09T05:40:00Z
CASE-500294,CUST-10434,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,Medium,In Progress,1,2024-02-12T14:21:00Z,
CASE-500062,CUST-10092,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,WhatsApp,Medium,Resolved,4,2024-02-14T21:57:00Z,2024-02-22T21:57:00Z
CASE-500288,CUST-10423,Produto entregue com avaria/defeito,Resgate/Entrega,App Livelo,Medium,Closed,5,2024-02-15T21:49:00Z,2024-02-24T21:49:00Z
CASE-500282,CUST-10412,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,Medium,Closed,5,2024-02-21T06:16:00Z,2024-02-22T06:16:00Z
CASE-500137,CUST-10215,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,Critical,Closed,4,2024-02-21T07:53:00Z,2024-02-27T07:53:00Z
CASE-500238,CUST-10346,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,App Livelo,Medium,Closed,1,2024-02-23T00:00:00Z,2024-02-24T00:00:00Z
CASE-500063,CUST-10094,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,WhatsApp,Low,Closed,5,2024-02-24T02:48:00Z,2024-02-27T02:48:00Z
CASE-500134,CUST-10211,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Chat Web,Low,Closed,5,2024-02-25T05:50:00Z,2024-03-02T05:50:00Z
CASE-500225,CUST-10333,Alteração de endereço de entrega de pedido,Resgate/Entrega,Reclame Aqui,Medium,Closed,5,2024-03-04T13:18:00Z,2024-03-13T13:18:00Z
CASE-500408,CUST-10598,Atraso na entrega de produto resgatado,Resgate/Entrega,Chat Web,Low,Closed,5,2024-03-06T22:08:00Z,2024-03-14T22:08:00Z
CASE-500313,CUST-10465,Atraso na entrega de produto resgatado,Resgate/Entrega,Chat Web,High,Closed,5,2024-03-07T11:18:00Z,2024-03-11T11:18:00Z
CASE-500159,CUST-10237,Voucher de Gift Card com código inválido,Resgate/Entrega,Reclame Aqui,Low,Resolved,3,2024-03-09T15:43:00Z,2024-03-14T15:43:00Z
CASE-500503,CUST-10708,Produto entregue com avaria/defeito,Resgate/Entrega,Telefone,High,Escalated,2,2024-03-15T05:20:00Z,
CASE-500573,CUST-10829,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,WhatsApp,Medium,In Progress,4,2024-03-15T12:42:00Z,
CASE-500576,CUST-10833,Atraso na entrega de produto resgatado,Resgate/Entrega,Telefone,Critical,Closed,4,2024-03-15T19:17:00Z,2024-03-20T19:17:00Z
CASE-500654,CUST-10930,Dúvida sobre validade dos pontos expirando,Atendimento,Reclame Aqui,High,Closed,4,2024-03-17T16:45:00Z,2024-03-19T16:45:00Z
CASE-500034,CUST-10054,Erro ao transferir pontos para programa aéreo,Pontuação/Acúmulo,Reclame Aqui,Low,Closed,5,2024-03-20T07:51:00Z,2024-03-21T07:51:00Z
CASE-500155,CUST-10236,Pontos não creditados após compra parceira,Pontuação/Acúmulo,App Livelo,High,Resolved,1,2024-03-20T07:58:00Z,2024-03-21T07:58:00Z
CASE-500462,CUST-10665,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Telefone,High,Escalated,1,2024-03-20T23:55:00Z,
CASE-500167,CUST-10245,Pontos não creditados após compra parceira,Pontuação/Acúmulo,Reclame Aqui,High,Closed,5,2024-03-22T09:12:00Z,2024-04-01T09:12:00Z
CASE-500151,CUST-10233,Dúvida sobre validade dos pontos expirando,Atendimento,Telefone,Critical,In Progress,1,2024-03-22T21:23:00Z,
CASE-500601,CUST-10857,Dificuldade para cancelar assinatura do Clube Livelo,Clube Livelo,Reclame Aqui,Low,Resolved,5,2024-03-24T06:14:00Z,2024-03-31T06:14:00Z
CASE-500285,CUST-10416,Voucher de Gift Card com código inválido,Resgate/Entrega,WhatsApp,Low,Closed,5,2024-03-25T09:27:00Z,2024-03-29T09:27:00Z
CASE-500647,CUST-10919,Cobrança indevida da mensalidade do Clube Livelo,Clube Livelo,Chat Web,Critical,Escalated,1,2024-03-27T04:17:00Z,
CASE-500520,CUST-10734,Atraso na entrega de produto resgatado,Resgate/Entrega,App Livelo,Low,Closed,5,2024-03-31T02:34:00Z,2024-04-03T02:34:00Z
